Training on cuda
Epoch 1: Loss 0.0642
Epoch 2: Loss 0.0159
Epoch 3: Loss 0.0093
Epoch 4: Loss 0.0041
Epoch 5: Loss 0.0032
Epoch 6: Loss 0.0020
Epoch 7: Loss 0.0019
Epoch 8: Loss 0.0025
Epoch 9: Loss 0.0012
Epoch 10: Loss 0.0015
Epoch 11: Loss 0.0014
Epoch 12: Loss 0.0018
Epoch 13: Loss 0.0010
Epoch 14: Loss 0.0015
Epoch 15: Loss 0.0011
Epoch 16: Loss 0.0009
Epoch 17: Loss 0.0012
Epoch 18: Loss 0.0008
Epoch 19: Loss 0.0010
Epoch 20: Loss 0.0015
Model Saved to: output/sentry_policy_20260124_172002.pth
