Training on cuda
Epoch 1: Loss 0.4773
Epoch 2: Loss 0.2783
Epoch 3: Loss 0.2223
Epoch 4: Loss 0.1822
Epoch 5: Loss 0.1661
Epoch 6: Loss 0.1513
Epoch 7: Loss 0.1455
Epoch 8: Loss 0.1393
Epoch 9: Loss 0.1268
Epoch 10: Loss 0.1145
Epoch 11: Loss 0.1046
Epoch 12: Loss 0.0926
Epoch 13: Loss 0.0838
Epoch 14: Loss 0.0778
Epoch 15: Loss 0.0660
Epoch 16: Loss 0.0524
Epoch 17: Loss 0.0561
Epoch 18: Loss 0.0462
Epoch 19: Loss 0.0493
Epoch 20: Loss 0.0423
Model Saved to: output/sentry_policy_20260124_214441.pth
