Training on cuda
Dataset Loaded: 694 samples.
Epoch 1: Loss 0.1217
Epoch 2: Loss 0.0805
Epoch 3: Loss 0.0643
Epoch 4: Loss 0.0548
Epoch 5: Loss 0.0508
Epoch 6: Loss 0.0501
Epoch 7: Loss 0.0473
Epoch 8: Loss 0.0448
Epoch 9: Loss 0.0425
Epoch 10: Loss 0.0420
Epoch 11: Loss 0.0415
Epoch 12: Loss 0.0419
Epoch 13: Loss 0.0409
Epoch 14: Loss 0.0390
Epoch 15: Loss 0.0395
Epoch 16: Loss 0.0379
Epoch 17: Loss 0.0366
Epoch 18: Loss 0.0366
Epoch 19: Loss 0.0361
Epoch 20: Loss 0.0357
Epoch 21: Loss 0.0358
Epoch 22: Loss 0.0342
Epoch 23: Loss 0.0338
Epoch 24: Loss 0.0337
Epoch 25: Loss 0.0341
Model Saved to: output/sentry_policy_20260125_043356.pth
