Training on cuda
Dataset Loaded: 12617 samples.
Epoch 1: Loss 0.1811
Epoch 2: Loss 0.1474
Epoch 3: Loss 0.1251
Epoch 4: Loss 0.1095
Epoch 5: Loss 0.0977
Epoch 6: Loss 0.0888
Epoch 7: Loss 0.0827
Epoch 8: Loss 0.0777
Epoch 9: Loss 0.0727
Epoch 10: Loss 0.0698
Epoch 11: Loss 0.0670
Epoch 12: Loss 0.0648
Epoch 13: Loss 0.0625
Epoch 14: Loss 0.0610
Epoch 15: Loss 0.0595
Epoch 16: Loss 0.0583
Epoch 17: Loss 0.0570
Epoch 18: Loss 0.0559
Epoch 19: Loss 0.0545
Epoch 20: Loss 0.0541
Epoch 21: Loss 0.0531
Epoch 22: Loss 0.0525
Epoch 23: Loss 0.0520
Epoch 24: Loss 0.0509
Epoch 25: Loss 0.0505
Model Saved to: output/temporal/sentry_policy_20260125_054003.pth
