Training on cuda
Epoch 1: Loss 0.1952
Epoch 2: Loss 0.1551
Epoch 3: Loss 0.1335
Epoch 4: Loss 0.1176
Epoch 5: Loss 0.1062
Epoch 6: Loss 0.0967
Epoch 7: Loss 0.0898
Epoch 8: Loss 0.0852
Epoch 9: Loss 0.0811
Epoch 10: Loss 0.0782
Epoch 11: Loss 0.0754
Epoch 12: Loss 0.0729
Epoch 13: Loss 0.0711
Epoch 14: Loss 0.0695
Epoch 15: Loss 0.0684
Epoch 16: Loss 0.0671
Epoch 17: Loss 0.0658
Epoch 18: Loss 0.0652
Epoch 19: Loss 0.0642
Epoch 20: Loss 0.0638
Model Saved to: output/jitter/sentry_policy_20260125_055733.pth
