Training on cuda
Dataset Loaded: 11933 samples.
Epoch 1: Loss 0.1942
Epoch 2: Loss 0.1520
Epoch 3: Loss 0.1287
Epoch 4: Loss 0.1095
Epoch 5: Loss 0.0978
Epoch 6: Loss 0.0885
Epoch 7: Loss 0.0820
Epoch 8: Loss 0.0765
Epoch 9: Loss 0.0722
Epoch 10: Loss 0.0688
Epoch 11: Loss 0.0654
Epoch 12: Loss 0.0633
Epoch 13: Loss 0.0612
Epoch 14: Loss 0.0602
Epoch 15: Loss 0.0583
Epoch 16: Loss 0.0573
Epoch 17: Loss 0.0563
Epoch 18: Loss 0.0551
Epoch 19: Loss 0.0543
Epoch 20: Loss 0.0531
Epoch 21: Loss 0.0527
Epoch 22: Loss 0.0518
Epoch 23: Loss 0.0515
Epoch 24: Loss 0.0509
Epoch 25: Loss 0.0503
Model Saved to: output/temporal/sentry_policy_20260125_061452.pth
