Training on cuda
Dataset Loaded: 11933 samples.
Epoch 1: Loss 0.1944
Epoch 2: Loss 0.1516
Epoch 3: Loss 0.1285
Epoch 4: Loss 0.1108
Epoch 5: Loss 0.0981
Epoch 6: Loss 0.0894
Epoch 7: Loss 0.0824
Epoch 8: Loss 0.0764
Epoch 9: Loss 0.0720
Epoch 10: Loss 0.0688
Epoch 11: Loss 0.0659
Epoch 12: Loss 0.0637
Epoch 13: Loss 0.0619
Epoch 14: Loss 0.0605
Epoch 15: Loss 0.0585
Epoch 16: Loss 0.0576
Epoch 17: Loss 0.0564
Epoch 18: Loss 0.0556
Epoch 19: Loss 0.0544
Epoch 20: Loss 0.0534
Epoch 21: Loss 0.0529
Epoch 22: Loss 0.0520
Epoch 23: Loss 0.0519
Epoch 24: Loss 0.0510
Epoch 25: Loss 0.0505
Model Saved to: output/temporal/sentry_policy_20260125_064812.pth
