Training on cuda
Epoch 1: Loss 0.1673
Epoch 2: Loss 0.1373
Epoch 3: Loss 0.1218
Epoch 4: Loss 0.1100
Epoch 5: Loss 0.1018
Epoch 6: Loss 0.0954
Epoch 7: Loss 0.0902
Epoch 8: Loss 0.0859
Epoch 9: Loss 0.0824
Epoch 10: Loss 0.0797
Epoch 11: Loss 0.0772
Epoch 12: Loss 0.0754
Epoch 13: Loss 0.0740
Epoch 14: Loss 0.0725
Epoch 15: Loss 0.0710
Epoch 16: Loss 0.0699
Epoch 17: Loss 0.0688
Epoch 18: Loss 0.0682
Epoch 19: Loss 0.0671
Epoch 20: Loss 0.0664
Model Saved to: output/jitter/sentry_policy_20260125_085246.pth
