Training on cuda
Epoch 1: Loss 0.1542
Epoch 2: Loss 0.1289
Epoch 3: Loss 0.1139
Epoch 4: Loss 0.1027
Epoch 5: Loss 0.0950
Epoch 6: Loss 0.0888
Epoch 7: Loss 0.0844
Epoch 8: Loss 0.0805
Epoch 9: Loss 0.0770
Epoch 10: Loss 0.0748
Epoch 11: Loss 0.0722
Epoch 12: Loss 0.0706
Epoch 13: Loss 0.0693
Epoch 14: Loss 0.0678
Epoch 15: Loss 0.0665
Epoch 16: Loss 0.0656
Epoch 17: Loss 0.0649
Epoch 18: Loss 0.0642
Epoch 19: Loss 0.0634
Epoch 20: Loss 0.0626
Model Saved to: output/jitter/sentry_policy_20260125_093727.pth
